Model Architecture,CV Macro F1 (Mean),CV Macro F1 (Std),CV Accuracy (Mean),CV Precision (Mean),CV Recall (Mean)
"Random Forest (Balanced, 150 Trees)",0.74,0.1344,0.9525,0.7549,0.7335
HistGradientBoosting (LightGBM Type),0.7212,0.1281,0.93,0.7399,0.7138
Multi-Layer Perceptron (64-32 Units),0.7135,0.1235,0.9219,0.7365,0.7046
RBF SVM (Balanced),0.7093,0.1231,0.9289,0.7318,0.7071
Linear SVM (Balanced),0.7063,0.1138,0.9239,0.7337,0.7015
Gradient Boosting (100 Trees),0.6948,0.106,0.9097,0.7249,0.6872
Logistic Regression (Balanced),0.6876,0.1188,0.9175,0.7271,0.6943
