Feature Indicator,Relative Importance Score
density_pct,0.047619047619047616
density_change_rate,0.047619047619047616
density_accel,0.047619047619047616
mean_motion_speed,0.047619047619047616
max_motion_speed,0.047619047619047616
motion_accel,0.047619047619047616
direction_variance,0.047619047619047616
flow_irregularity,0.047619047619047616
compression_idx,0.047619047619047616
dynamic_surge_idx,0.047619047619047616
kinetic_energy,0.047619047619047616
motion_to_density,0.047619047619047616
turbulence_product,0.047619047619047616
d_mean_5s,0.047619047619047616
d_std_5s,0.047619047619047616
m_mean_5s,0.047619047619047616
m_std_5s,0.047619047619047616
flow_irr_mean_5s,0.047619047619047616
dir_var_mean_5s,0.047619047619047616
comp_mean_5s,0.047619047619047616
surge_mean_5s,0.047619047619047616
