Ablation Configuration,Num Features,Val Macro F1,Test Macro F1,Test Accuracy,Test Precision,Test Recall
Config A: Density Only (D),1,0.6775,0.4427,0.5054,0.4386,0.4975
Config B: Motion Only (M + dir_var),2,0.7818,0.8228,0.8089,0.8388,0.8311
Config C: Naive Density + Motion (D + M),2,0.8181,0.7635,0.7375,0.7705,0.7673
Config D: Core 6D Feature Vector,6,0.8166,0.7643,0.7304,0.7725,0.7623
Config E: Core 6D + Physical Compression/Surge,8,0.8109,0.7686,0.7357,0.7771,0.7671
Config F: Full Multi-Scale Temporal Framework,21,0.9441,0.8959,0.8768,0.9104,0.8939
